Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
CharlesNewtown,Yes,Multifamily Housing,89 Medford Street,02129," 283,936 ",157.6,1,,"Multifamily Housing, Parking",1971,3106.8,10.9," 44,744,462 ",37%,63%,0%,92.12,,,,020273400002027400000202745000
Charlestown Branch,Municipal,Library,179 Main St,02129," 15,831 ",84.8,Not applicable to this property type,,Library,2000,106.2, 6.7 ," 1,342,001 ",60%,40%,0%,0.36,,,,
CHARLESTOWN HS,Municipal,K-12 School,240 Medford St.,02129," 226,822 ",72.7,49,,K-12 School,1978,1091.1, 4.8 ," 16,491,448 ",30%,70%,0%,0.89,,,,
Charlestown Navy Yard Rowhouses,Yes,Multifamily Housing,110 First Ave,02129," 28,820 ",7.7,100,,Multifamily Housing,1989,21.3,0.7," 220,569 ",100%,0%,0%,64.40,,,,0203517500
City Square Elderly Housing,Yes,Multifamily Housing,42 Park Street,02129," 94,970 ",54.9,97,,Multifamily Housing,1985,331.8,3.5," 5,212,114 ",24%,76%,0%,41.35,,,,Not Available
Clougherty Pool,Municipal,Fitness Center/Health Club/Gym,345 Bunker Hill St,02129," 9,936 ",16.2,Not applicable to this property type,,Fitness Center/Health Club/Gym,2000,15.5, 1.6 ," 160,637 ",100%,0%,0%,26.01,,,,
Constellation Wharf Condominium,Yes,Multifamily Housing,Pier 7 Ninth Street,02129," 163,453 ",70.5,1,,"Multifamily Housing, Parking",1986,1114.4,6.8," 11,518,831 ",100%,0%,0%,18.51,,,,203516001
Courtyard Condominium,Yes,Multifamily Housing,47 Harvard Street,02129," 100,000 ",22.6,100,,Multifamily Housing,1983,166.4,1.7," 2,263,459 ",47%,53%,0%,28.56,,,,Not Available
EDWARDS,Municipal,K-12 School,28 Walker St.,02129," 81,668 ",51.6,94,,K-12 School,1932,261.9, 3.2 ," 4,210,692 ",21%,79%,0%,1.09,,,,
Engine 04,Municipal,Fire Station,200 Cambridge St,02129," 18,150 ",84,Not applicable to this property type,,Fire Station,2000,97.7, 5.4 ," 1,524,299 ",25%,75%,0%,1.98,,,,
Engine 32,Municipal,Fire Station,525 Main St,02129," 10,914 ",122.3,Not applicable to this property type,,Fire Station,2000,88.6, 8.1 ," 1,334,937 ",30%,70%,0%,2.54,,,,
Engine 50,Municipal,Fire Station,34 Winthrop St,02129," 12,000 ",67,Not applicable to this property type,,Fire Station,2000,51.5, 4.3 ," 803,803 ",25%,75%,0%,1.47,,,,
Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129," 67,000 ",40.9,Not applicable to this property type,,Manufacturing/Industrial,1965,246.1,3.7," 2,740,827 ",84%,16%,0%,1.77,,,,0202162080
Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129," 590,000 ",55.4,28,,Multifamily Housing,1989,2431.2,4.1," 32,669,738 ",49%,51%,0%,14.03,,,,0203505100
Holden,Municipal,K-12 School,8 Pearl St,02129," 11,212 ",67.8,95,,K-12 School,2000,59.3, 5.3 ," 759,920 ",17%,0%,0%,1.58,,,,
KENT,Municipal,K-12 School,50 Bunker Hill St.,02129," 93,350 ",99.5,68,,K-12 School,1972,514.7, 5.5 ," 9,286,065 ",5%,95%,0%,1.30,,,,
Mezzo Design Lofts,Yes,Multifamily Housing,30 Caldwell Street,02129," 123,594 ",43.8,Not Available,,Multifamily Housing,2007,365.6,3," 5,415,212 ",33%,67%,0%,37.97,,,,Not Available
MGH Institute of Health Professions,Yes,Office,36 First Avenue,02129," 64,925 ",73.8,69,,Office,1865,440.1,6.8," 4,789,886 ",89%,11%,0%,9.89,,,,0203504000 0203504001
"Mishawum Park: Bldgs 17, 18, and 20",Yes,Multifamily Housing,216 Main Street,02129," 30,425 ",55.4,98,,Multifamily Housing,1974,102.5,3.4," 1,686,404 ",18%,82%,0%,46.73,,,,0202315000
"Mishawum Park: Bldgs 9,10,11, and 12",Yes,Multifamily Housing,290 Main Street,02129," 98,577 ",63.8,84,,Multifamily Housing,1974,411.9,4.2," 6,286,778 ",28%,72%,0%,57.28,,,,0202390000
Parris Landing Condominium Trust: 42 8th Street,Yes,Multifamily Housing,42 8th Street,02129," 600,580 ",18.7,100,,Multifamily Housing,1979,867.7,1.4," 11,207,019 ",56%,44%,0%,25.74,,,,0203506010
PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,02129," 51,880 ",416.9,Not applicable to this property type,,Laboratory,1848,1589.6,30.6," 21,627,773 ",47%,53%,0%,27.31,,,,0203510155
PHS-MGH-CNY Bldg 114,Yes,Medical Office,114 16th Street,02129," 160,352 ",247.9,19,,Medical Office,1904,2793.1,17.4," 39,756,028 ",39%,61%,0%,44.36,,,,0203510050
PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,02129," 733,715 ",275.7,12,,Medical Office,1919,15705.9,21.4," 202,309,865 ",56%,44%,0%,44.55,,,,0203510451
Schraffts Center,Yes,Office,529 Main Street,02129," 609,636 ",62.2,83,,"Office, Parking",1928,3350.8,5.5," 37,910,504 ",81%,19%,0%,1424.58,,,,0201829000 0201829002
Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,02129," 106,393 ",29,85,,"Multifamily Housing, Office, Parking",1984,256,2.8," 2,646,419 ",100%,0%,0%,27.33,,,,203515600
Stillman Tennis Center,Municipal,Fitness Center/Health Club/Gym,44 Terminal St,02129," 64,320 ",43.4,Not applicable to this property type,,Fitness Center/Health Club/Gym,2000,148.3, 2.3 ," 2,791,300 ",0%,100%,0%,,,,,
The Nautica Condominium Leasehold Trust,Yes,Multifamily Housing,1 Warren St,02129," 239,435 ",73.5,67,,"Multifamily Housing, Parking",2000,819.1,5.4," 11,096,952 ",47%,53%,0%,60.45,,,,Not Available
WARREN PRESCOTT,Municipal,K-12 School,50 School St.,02129," 59,330 ",41.7,99,,K-12 School,1963,151.1, 2.5 ," 2,472,914 ",18%,82%,0%,2.11,,,,
YMCA of Greater Boston - Constitution Inn,Yes,Hotel,150 Second Avenue,02129," 270,000 ",25348.8,1,,Hotel,1992,363814.6,1347.5," 6,844,188,495 ",0%,100%,0%,33.25,,"The hotel consists of a 20,000 sq. ft. fitness center.",,0203511300 0203511301
Zelma Lacey Assisted Living: 9 West School St,Yes,Multifamily Housing,9 W School St,02129," 39,384 ",106.7,5,,Multifamily Housing,2004,301.8,7.7," 4,202,077 ",43%,57%,0%,67.00,,,,0202350000
Zero-Sort Building,Yes,Manufacturing/Industrial Plant,410 R Rutherford Ave,02129," 81,000 ",175.3,Not applicable to this property type,,Manufacturing/Industrial,1965,1279.6,15.8," 14,200,697 ",85%,15%,0%,11.19,,,,0202162095
1098-Jamaica Plain,Yes,Non-Refrigerated Warehouse,3175 Washington Street,02130," 71,057 ",31.6,9,,Non-Refrigerated Warehouse,2009,196.7,2.8," 2,248,944 ",79%,21%,0%,0.11,,,,1102009000
183 Forest Hills St,Yes,Multifamily Housing,183 Forest Hills St,02130," 66,828 ",75.2,99,,Multifamily Housing,1900,267.1,4," 5,028,293 ",0%,100%,0%,22.52,,,,1102906000
AGASSIZ,Municipal,K-12 School,20 Child St.,02130," 115,400 ",81.6,63,,K-12 School,1972,577.2, 5.0 ," 9,411,354 ",19%,81%,0%,1.61,,,,
Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130," 150,172 ",90.6,56,,Multifamily Housing,1950,770.3,5.1," 13,601,801 ",8%,92%,0%,25.72,,,,1102640000
Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,02130," 119,531 ",61.7,71,,Multifamily Housing,1978,489.5,4.1," 7,369,977 ",30%,70%,0%,34.98,,,,1001490000
Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,02130," 86,900 ",62,73,,Multifamily Housing,1000,370.9,4.3," 5,385,128 ",36%,64%,0%,34.02,,,,1001480000
Charles E. Farnsworth Housing Corp,Yes,Other - Lodging/Residential,90 South Street ,02130," 43,037 ",58.3,Not applicable to this property type,,Other - Lodging/Residential,1982,242.9,5.6," 2,511,068 ",100%,0%,0%,41.22,,,,1103125000
Commerce Apartments,Yes,Multifamily Housing,3115 Washington Street,02130," 85,510 ",90,25,,Multifamily Housing,1940,458.4,5.4," 7,696,992 ",15%,85%,0%,36.76,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner. Therefore, the data reported is based on the energy and water data of 11 buildings in the Commerce Apartments development. ",,1101302000
Connolly Branch,Municipal,Library,433 Centre St,02130," 9,240 ",50.3,Not applicable to this property type,,Library,2000,33.2, 3.6 ," 464,758 ",42%,58%,0%,0.58,,,,
Curley House,Municipal,Other,350 Jamaicaway,02130," 122,183 ",6.6,Not applicable to this property type,,Other,2000,47.8, 0.4 ," 802,415 ",15%,85%,0%,0.02,,,,
CURLEY JM,Municipal,K-12 School,40 Pershing Rd.,02130," 34,445 ",66.7,80,,K-12 School,1970,153, 4.4 ," 2,296,729 ",31%,69%,0%,1.29,,,,
CURLEY MARY E,Municipal,K-12 School,493 Centre St.,02130," 122,183 ",45,97,,K-12 School,1931,333.8, 2.7 ," 5,499,061 ",17%,83%,0%,0.95,,,,
Curtis Hall Community Center,Municipal,Other - Recreation,20 S St,02130," 37,995 ",136.8,Not applicable to this property type,,Other - Recreation,2000,321.7, 8.5 ," 5,197,837 ",20%,80%,0%,,,,,
DAUGHTERS OF ST PAUL INC,Yes,Mixed Use Property,50 ST PAULS AVENUE,02130," 174,000 ",51.3,Not applicable to this property type,,"Office, Residence Hall/Dormitory",1955,592.1,3.4," 8,918,255 ",25%,64%,0%,12.10,,,,1902625000
E-13 Station,Municipal,Police Station,3347 Washington St,02130," 14,750 ",155.8,Not applicable to this property type,,Police Station,2000,155.9, 10.6 ," 2,297,417 ",34%,66%,0%,1.53,,,,
EGLESTON,Municipal,K-12 School,3134 Wasington St,02130," 30,000 ",6.6,100,,K-12 School,1978,19, 0.6 ," 196,531 ",100%,0%,0%,,,,,
English HS,Municipal,K-12 School,144 McBride St.,02130," 225,560 ",91.8,51,,K-12 School,1973,1211.4, 5.4 ," 20,700,014 ",12%,88%,0%,0.97,,,,
Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130," 98,205 ",85.2,84,,Multifamily Housing,1964,481.7,4.9," 8,369,437 ",10%,90%,0%,7545.87,,,,1102906000
Franciscan Monastery of St Clare,Yes,Other - Lodging/Residential,920 Centre St,02130," 60,400 ",54.3,Not applicable to this property type,,"Other - Lodging/Residential, Parking",1906,242.2,4," 3,258,390 ",12%,12%,0%,,,,,Not Available
Franklin Park Greenhouse,Municipal,Other,190 Morton Street,02130," 25,000 ",255.2,Not applicable to this property type,,Other,2000,360.3, 14.4 ," 6,380,811 ",4%,89%,0%,,,,,
Franklin Park Villa,Yes,Multifamily Housing,131 Morton Street,02130," 67,049 ",Not Available,Not Available,,Multifamily Housing,2002,0,0, Not Available ,0%,0%,0%,,,,,1103774000
FULLER,Municipal,K-12 School,25 Glen Rd.,02130," 19,887 ",80.5,87,,K-12 School,1892,94.9, 4.8 ," 1,600,413 ",14%,86%,0%,0.38,,,,
HENNIGAN,Municipal,K-12 School,200 Heath St.,02130," 137,800 ",206.1,8,,K-12 School,1972,1529.7, 11.1 ," 28,397,062 ",2%,98%,0%,1.54,,,,
Jamaica Plain,Yes,Multifamily Housing,48 School Street,02130," 156,000 ",76.2,79,,"Multifamily Housing, Parking",1920,722.6,4.6," 11,892,166 ",18%,82%,0%,53.67,,,,1101481000110232700011023280001102329000110233000011023310001102332000110234200014010950001401097000140429800014042990001904778000
Jamaica Plain Branch,Municipal,Library,12 Sedgewick St,02130," 9,252 ",77.7,Not applicable to this property type,,Library,2000,46.4, 5.0 ," 719,114 ",26%,74%,0%,1.16,,,,
Jamaica Pond Boat House,Municipal,Other - Recreation,0 Jamaicaway,02130, 100 ,Not Available,Not applicable to this property type,,Other - Recreation,2000,0, -   , Not Available ,0%,0%,0%,202.00,,,,
Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,02130," 445,701 ",49.7,96,,Multifamily Housing,1965,1742.7,3.9," 22,170,352 ",21%,1%,0%,21.97,,,,1002149000
KENNEDY JF,Municipal,K-12 School,7 Bolster St.,02130," 49,194 ",63.3,93,,K-12 School,1963,183.4, 3.7 ," 3,113,624 ",13%,87%,0%,1.42,,,,
MANNING,Municipal,K-12 School,130 Louders Ln.,02130," 22,336 ",72,87,,K-12 School,1941,100, 4.5 ," 1,609,238 ",21%,79%,0%,1.32,,,,
Michael Moskow,Yes,Multifamily Housing,82 South Huntington Avenue,02130," 80,000 ",Not Available,Not Available,,Multifamily Housing,1969,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
MSPCA/Angell,Yes,Other - Specialty Hospital,350 South Huntington Ave,02130," 169,972 ",171.9,Not applicable to this property type,,Other - Specialty Hospital,1954,2070.9,12.2," 29,224,010 ",41%,59%,0%,2.73,,,,1002199001
Nate Smith House: 155 Lamartine St,Yes,Multifamily Housing,155 Lamartine St,02130," 36,049 ",84.7,30,,Multifamily Housing,1998,197.7,5.5," 3,054,407 ",27%,73%,0%,50.48,,,,1900029010
Park Ranger,Municipal,Other - Recreation,FRNKLN/WLKHL   P8,02130," 2,000 ",Not Available,Not applicable to this property type,,Other - Recreation,2000,0, -   , Not Available ,0%,0%,0%,,,,,
PARKMAN,Municipal,K-12 School,25 Walk Hill St.,02130," 39,586 ",74.3,84,,K-12 School,1899,178.5, 4.5 ," 2,940,381 ",17%,83%,0%,1.06,,,,
Pondview: 560 Centre St,Yes,Multifamily Housing,560 Centre St,02130," 50,297 ",96.1,42,,Multifamily Housing,2000,290.8,5.8," 4,831,490 ",16%,84%,0%,83.96,,,,1900914000
Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,02130," 157,770 ",126.6,67,,"Parking, Senior Care Community",1970,1026.9,8.7," 14,914,185 ",36%,64%,0%,41.79,,,,1001630000
Springhouse Inc,Yes,Senior Care Community,44 Allandale Street ,02130," 172,770 ",136.1,3,,Senior Care Community,1996,1517.9,8.8," 23,518,344 ",26%,74%,0%,23.15,,,,2003594000
Street Light Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",327 Forest Hills Street,02130," 4,320 ",200,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,72.2, 16.7 ," 864,104 ",42%,0%,0%,2.36,,,,
The Forbes Building,Yes,Multifamily Housing,545 Centre Street,02130," 88,616 ",117.5,30,,Multifamily Housing,1976,832.7,9.4," 10,410,136 ",26%,0%,0%,49.64,,,,1901974000
Walnut Washington,Yes,Multifamily Housing,3228 Washington Street,02130," 82,000 ",98.6,44,,Multifamily Housing,1920,476.5,5.8," 8,088,288 ",13%,87%,0%,8704.56,,,,11016200001101647000110164800011016520001102293000
Woodbourne Housing LP,Yes,Multifamily Housing,6 Southbourne Road ,02130," 64,667 ",56.8,92,,Multifamily Housing,1979,219.4,3.4," 3,672,391 ",15%,85%,0%,34.55,,,,1904952000
0004 Roslindale,Yes,Supermarket/Grocery Store,950 American Legion Hgwy,02131," 38,694 ",248.7,42,,Supermarket/Grocery,2001,779.6,20.1," 9,622,656 ",64%,36%,0%,,,,,1807323000
Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131," 10,000 ",176.6,Not applicable to this property type,,Other,2000,112, 11.2 ," 1,766,002 ",24%,76%,0%,1.14,,,,
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,02131," 14,700 ",76.3,57,,K-12 School,1969,83.7, 5.7 ," 1,120,899 ",49%,51%,0%,1.03,,,,
BATES,Municipal,K-12 School,426 Beech St.,02131," 27,936 ",72.4,88,,K-12 School,1929,122.1, 4.4 ," 2,021,344 ",17%,83%,0%,1.48,,,,
Blue Ledge Co-op,Yes,Multifamily Housing,15 Blue Ledge Drive,02131," 69,335 ",Not Available,Not Available,,Multifamily Housing,1995,0,0, Not Available ,0%,0%,0%,,,,,1806016300
Brooke Charter School Roslindale,Yes,K-12 School,190 Cummins Highway,02131," 63,221 ",60.3,Not Available,,K-12 School,1916,298.8,4.7," 3,815,061 ",25%,7%,0%,12.85,,,,1903799000
CONLEY,Municipal,K-12 School,450 Poplar St.,02131," 25,281 ",68.8,90,,K-12 School,1932,106.5, 4.2 ," 1,738,608 ",19%,81%,0%,1.21,,,,
Cummins Towers,Yes,Multifamily Housing,950 Canterbury Street,02131," 206,955 ",107.3,72,,Multifamily Housing,1900,1234.8,6," 22,200,699 ",6%,94%,0%,60.60,,,,1806659000
Dale Village Condo Trust,Yes,Multifamily Housing,25 Harrison St,02131," 191,967 ",10.7,100,,Multifamily Housing,1900,198.4,1," 2,051,219 ",100%,0%,0%,27.28,,,,1903888000
Engine 53,Municipal,Fire Station,945 Canterbury St,02131," 18,644 ",92.9,Not applicable to this property type,,Fire Station,2000,112.1, 6.0 ," 1,731,674 ",27%,73%,0%,2.45,,,,
Flaherty Pool,Municipal,Other - Recreation,160 Florence St,02131," 15,000 ",360.8,Not applicable to this property type,,Other - Recreation,2000,354.2, 23.6 ," 5,411,368 ",28%,72%,0%,8.33,,,,
Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",02131," 145,643 ",83.7,95,,Multifamily Housing,1968,655.7,4.5," 12,196,055 ",1%,99%,0%,77.56,,,,1903232000
Franklin Park Maintenance Shed,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131," 3,600 ",Not Available,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1905,Not Available, Not Available , Not Available ,0%,0%,0%,,,,,
Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,02131," 1,400 ",Not Available,Not Available,,Office,1905,Not Available, Not Available , Not Available ,0%,0%,0%,,,,,
Franklin Park Ranger Stables,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131," 4,500 ",26.1,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1905,11.4, 2.5 ," 117,670 ",100%,0%,0%,,,,,
Franklin Park Trades Office,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131," 10,000 ",113.2,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1905,109.5, 11.0 ," 1,131,965 ",100%,0%,0%,,,,,
HALEY,Municipal,K-12 School,570 American Legion HWY.,02131," 38,993 ",59,84,,K-12 School,1971,157.5, 4.0 ," 2,300,952 ",35%,65%,0%,1.38,,,,
Hebrew Rehabilitation Center,Yes,Hospital (General Medical & Surgical),1200 Centre St,02131," 419,575 ",182.4,91,,"Hospital (General Medical & Surgical), Parking",1963,5215,12.4," 76,548,275 ",34%,66%,0%,,,,,Not Available
IRVING,Municipal,K-12 School,105 Cummins HWY,02131," 110,370 ",50.3,94,,K-12 School,1936,343.9, 3.1 ," 5,547,312 ",20%,80%,0%,0.58,,,,
Menino Community Center,Municipal,Other - Recreation,125 Brookway Rd,02131," 12,000 ",72.7,Not applicable to this property type,,Other - Recreation,2000,56.1, 4.7 ," 872,327 ",26%,74%,0%,0.54,,,,
MOZART,Municipal,K-12 School,236 Beech St.,02131," 16,248 ",57,96,,K-12 School,1932,58, 3.6 ," 925,823 ",22%,78%,0%,1.58,,,,
PHILBRICK,Municipal,K-12 School,40 Philbrick St.,02131," 20,062 ",55.9,95,,K-12 School,1913,72, 3.6 ," 1,121,374 ",25%,75%,0%,1.75,,,,
Roslindale Branch,Municipal,Library,4246 Washington St,02131," 13,600 ",79.6,Not applicable to this property type,,Library,2000,73.2, 5.4 ," 1,081,936 ",33%,67%,0%,3.17,,,,
Roslindale Community Center,Municipal,Social/Meeting Hall,6 Cummins Highway,02131," 36,960 ",59.6,Not applicable to this property type,,Social/Meeting Hall,2000,139.1, 3.8 ," 2,204,630 ",23%,77%,0%,0.56,,,,
Roslindale Senior Housing Corp.,Yes,Other - Lodging/Residential,120 Poplar Street ,02131," 58,153 ",167,Not applicable to this property type,,Other - Lodging/Residential,1987,702.9,12.1," 9,711,094 ",44%,56%,0%,50.61,,,,Not Available
Stony Brook Commons,Yes,Multifamily Housing,390 Blue Ledge Drive,02131," 459,000 ",73.2,97,,Multifamily Housing,1900,1854.5,4," 33,613,096 ",5%,95%,0%,58.07,,,,Not Available
SUMNER,Municipal,K-12 School,15 Basile St.,02131," 49,105 ",25.7,100,,K-12 School,1931,87.3, 1.8 ," 1,261,994 ",37%,63%,0%,0.81,,,,
Washington St,Municipal,Other - Recreation,4210 Washington St,02131," 40,000 ",13.9,Not applicable to this property type,,Other - Recreation,2000,53.8, 1.3 ," 556,020 ",100%,0%,0%,,,,,
07577-West Roxbury,Yes,Supermarket/Grocery Store,75 Spring Street,02132," 54,846 ",284.1,40,,Supermarket/Grocery,1999,1220,22.2," 15,580,719 ",58%,42%,0%,10.23,,,,Not Available
"1459 Realty Ventures, LLC",Yes,Multifamily Housing,1459-1461 VFW Parkway,02132," 90,437 ",83.6,59,,"Multifamily Housing, Parking",1968,444.5,4.9," 7,560,051 ",13%,87%,0%,49.78,,,,2010637001
Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,02132," 119,454 ",47.7,80,,Non-Refrigerated Warehouse,2000,302.8, 2.5 ," 5,700,500 ",0%,100%,0%,0.48,,,,
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,02132," 37,452 ",55.7,95,,K-12 School,1925,128.9, 3.4 ," 2,086,734 ",20%,80%,0%,2.42,,,,
Belgrade Place LLC,Yes,Multifamily Housing,446 Belgrade Ave,02132," 65,574 ",106,1,,"Multifamily Housing, Parking",2012,409.9,9.4," 4,632,213 ",81%,19%,0%,29.52,,,,Not Available
BPD Backup Tower,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",64 Bellevue Hill Rd,02132," 10,200 ",7.1,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1905,7, 0.7 ," 72,604 ",100%,0%,0%,,,,,
