Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
GARDNER,Municipal,K-12 School,30 Athol,02134,59196,57.4,94,,K-12 School,1906,204.2,3.4,3397885.6,16%,84%,,,,,,Not Available,2016,#VALUE!
GARFIELD,Municipal,K-12 School,95 Beechcroft,02135,47314,59.3,95,,K-12 School,1925,165.9,3.5,2805103.1,14%,86%,,,,,,Not Available,2016,#VALUE!
Garrison Condominium,Yes,Multifamily Housing,8 Garrison St,02116," 73,000 ",74.2,90,,Multifamily Housing,1900,320.4,4.4," 5,413,744 ",14%,86%,,45.7,,Gross floor area was estimated using the total rentable area plus common areas.,,401011000,"2015, 2016",7268492.2916
Garrison Square,Yes,Multifamily Housing,32 Garrison Street,02116," 115,806 ",59,Not Available,,Multifamily Housing,1985,661.1,5.7," 6,833,420 ",100%,,,,,,,0400972000,"2015, 2016",21456939.4280
Gatehouse 75,Yes,Multifamily Housing,75 W School St,02129," 95,087 ",82.4,12,,"Multifamily Housing, Parking",2013,629.5,6.6," 7,834,954 ",62%,38%,,33.3,,"There are three different water meters on the property, so we reported them separately instead of as one meter. WAgt280001 refers to meter #70263683, WAgt280002 refers to the fireline, and WAgt280003 refers to meter #70263683.",,0202360000,2016,18379234.1549
GAVIN,Municipal,K-12 School,215 Dorchester,02127,108387,46.2,96,,K-12 School,1936,311.8,2.9,5005829.4,21%,79%,,,,,,Not Available,2016,#VALUE!
Genesis House: 28 Wallingford Rd.,Yes,Multifamily Housing,28 Wallingford Rd.,02135," 187,656 ",69.5,64,,Multifamily Housing,1978,878.2,4.7," 13,049,750 ",32%,68%,,51.5,,,,2102565020,"2015, 2016",22429910.3000
Geneva Apartments LLC,Yes,Multifamily Housing,231 - 1 Geneva Ave,02125," 52,350 ",103.6,54,,Multifamily Housing,2000,317.9,6.1," 5,421,732 ",13%,87%,,77.9,,,,1401380000,2016,7165903.7131
George Robert White Resource Center,Municipal,Other,26 Central Ave,02136,12300,Not Available,Not Available,,Other,2000,Not Available,Not Available,Not Available,,,,,,,,Not Available,2016,#VALUE!
Glass Hall,Yes,Office,660 Soldiers Field Road,02163," 7,563 ",78.2,73,,Office,1926,43.5,5.8," 591,165 ",24%,,76%,21.7,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016",984643.7578
Goldenson,Yes,Laboratory,220 Longwood,02115," 133,445 ",226.6,Not Available,,Laboratory,1905,2187.5,16.4," 30,239,215 ",31%,0%,45%,76.0,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",,0401882000,"2014, 2015, 2016",45764027.3756
Gordon Hall,Yes,Office,25 Shattuck St,02115," 72,877 ",147.6,3,,Office,1905,878.1,12.0," 10,755,147 ",59%,,21%,6.9,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016",22635281.7448
Gordon Track and Tennis Center,Yes,Race Track,69 North Harvard Street,02134," 77,058 ",37.7,Not Available,,Race Track,1977,214.8,2.8," 2,904,327 ",25%,,75%,7.3,,,,2200533000,"2014, 2015, 2016",4893791.3320
Governor Apartments: 209 Kelton Street,Yes,Multifamily Housing,209 Kelton Street,02134," 91,557 ",58.6,87,,Multifamily Housing,1980,327.9,3.6," 5,361,973 ",18%,82%,,37.9,,,,2101692000,"2015, 2016",7647246.3205
Granite Lena Park,Yes,Multifamily Housing,754 Blue Hill Avenue,02121," 115,064 ",124.9,22,,Multifamily Housing,1920,875.5,7.6," 14,370,941 ",18%,82%,,87.8,,,,14019450001401946000140251900014027710001402774000140278800014028230001405083000      1401933000,"2015, 2016",20495836.3394
Grant Manor Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 152,212 ",101.9,58,,Multifamily Housing,1900,944.0,6.2," 15,506,538 ",18%,82%,,17.1,,,,0801675000,"2015, 2016",22115424.6382
Greater Boston Legal Services,Yes,Office,32 38 Anthony R Valenti Wy,02114," 50,400 ",56.7,85,,Office,1900,254.3,5.0," 2,858,383 ",82%,18%,,11.8,,,,0301592000,"2014, 2015, 2016",7899999.4882
Greenhill House,Yes,Office,40 Harvard Way,02163," 5,940 ",91.5,72,,Office,1965,38.2,6.4," 543,245 ",13%,,87%,29.6,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 9% of the meter shared with Chase Hall and Dillon House. Allocation is by GSF.",,2200530000,"2014, 2015, 2016",788900.5342
GREENWOOD E,Municipal,K-12 School,612 METROPOLITAN AVE,02136,51128,36.8,100,,K-12 School,1957,114.7,2.2,1880066.6,18%,82%,,,,,,Not Available,2016,#VALUE!
GREENWOOD S,Municipal,K-12 School,186 GLENWAY ST,02121,58452,51.5,97,,K-12 School,1925,182.2,3.1,3009782.7,17%,83%,,,,,,Not Available,2016,#VALUE!
GREW,Municipal,K-12 School,40 Gordon Ave.,02136,32216,53.8,96,,K-12 School,1956,107.2,3.3,1732833.4,20%,80%,,,,,,Not Available,2016,#VALUE!
GUILD,Municipal,K-12 School,5 Ashley St.,02128,36628,68.4,90,,K-12 School,1921,151.5,4.1,2506622.9,17%,83%,,,,,,Not Available,2016,#VALUE!
HALE,Municipal,K-12 School,51 Cedar St.,02119,23084,68,87,,K-12 School,1909,100.4,4.3,1569355.9,25%,75%,,,,,,Not Available,2016,#VALUE!
HALEY,Municipal,K-12 School,570 American Legion HWY.,02131,38993,69.4,64,,K-12 School,1971,193.5,5,2707487.3,42%,58%,,,,,,Not Available,2016,#VALUE!
HAMILTON,Municipal,K-12 School,198 Strathmore Rd.,02135,31570,52.5,98,,K-12 School,1924,97.2,3.1,1658560.3,13%,87%,,,,,,Not Available,2016,#VALUE!
Hamilton Hall,Yes,Residence Hall/Dormitory,700 Soldiers Field Road,02163," 49,297 ",52.2,88,,Residence Hall/Dormitory,1926,201.6,4.1," 2,571,798 ",40%,,60%,21.8,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 27% of the meter shared with Gallatin, Connell, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016",5081872.2552
Hanover,Yes,Multifamily Housing,216-228 Hanover Street,02113," 76,200 ",49.1,100,,"Multifamily Housing, Restaurant, Retail Store",1920,217.8,2.9," 3,740,838 ",12%,88%,,39.4,,,,0302391000,"2015, 2016",4866081.6802
Harbor Garage,Yes,Other,70 East India Row,02110," 364,500 ",10.8,Not Available,,Other,1969,379.7,1.0," 3,924,572 ",100%,,,9.1,,,,0302995000,"2014, 2015, 2016",12323156.7080
Harbor Patrol,Municipal,Police Station,Drydock  /  Summer St,02127,1000,435.2,Not Available,,Police Station,2000,42.1,42.1,435159.7,100%,,,,,,,Not Available,2016,#VALUE!
Harbor Point Apartments,Yes,Multifamily Housing,400 Mt Vernon,02125," 2,162,289 ",12,100,,"Multifamily Housing, Parking, Retail Store",1989,2120.2,1.0," 25,878,876 ",66%,34%,,291.8,,,,1303445000,"2015, 2016",62870141.3544
Harbor Seafood,Yes,Other,8 Seafood Way,02210," 66,087 ",145.1,Not Available,,Other,2001,864.2,13.1," 9,590,752 ",85%,15%,,165507.0,,,,0602674003,"2015, 2016",27108259.3974
Harborside Inn,Yes,Hotel,185 State Street,02109," 62,370 ",126.8,11,,Hotel,1875,588.0,9.4," 7,909,195 ",49%,51%,,42.0,,,,0303808000,"2014, 2015, 2016",16404460.5199
Harborview at the Navy Yard,Yes,Multifamily Housing,250 First Avenue,02129," 225,748 ",56.8,81,,"Multifamily Housing, Parking",2008,994.0,4.4," 12,814,098 ",56%,44%,,41.2,,,,Not Available,2016,28452422.0890
Harpoon,Yes,Other,306 Northern Ave,01220," 47,515 ",738.9,Not Available,,Other,1943,2101.9,44.2," 35,109,069 ",15%,85%,,431.2,,,,Not Available,"2015, 2016",47871215.9906
Harvard Club,Yes,Hotel,374 Commonwealth Avenue,02215," 95,000 ",146.3,41,,"Hotel, Parking, Restaurant",1913,889.6,9.4," 13,902,967 ",25%,75%,,40.1,,,,0503816000,2016,21862415.7648
Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,02115," 295,537 ",517.8,Not Available,,Laboratory,1992,10755.9,36.4," 153,036,166 ",25%,0%,48%,140.3,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.HIM building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000,"2014, 2015, 2016",208282221.6538
Harvard Stadium,Yes,Stadium (Open),79 North Harvard Street,02134," 351,745 ",32,Not Available,,Stadium (Open),1903,737.1,2.1," 11,244,912 ",29%,71%,,,,,,2200533000,"2014, 2015, 2016",18622699.0944
Harvard Vanguard Medical,Yes,Medical Office,291 Independence Drive,02467," 44,508 ",179.1,13,,"Medical Office, Parking",1984,587.1,13.2," 7,971,042 ",47%,53%,,15.7,,,,2006994100,2016,16199548.4534
Harvard Vanguard Medical Associates,Yes,Medical Office,133 brookline Ave,02215," 278,667 ",206.5,Not Available,,"Data Center, Medical Office, Parking",1900,4496.0,16.1," 57,541,885 ",57%,43%,,717.1,,This was first reported without a data center in error Data center Added,,2100074000,"2014, 2015, 2016",128968626.6264
Hawes Hall,Yes,College/University,37 Harvard Way,02163," 61,104 ",74.7,Not Available,,College/University,2002,401.1,6.6," 4,562,452 ",71%,,29%,21.9,,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commons. 
Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016",11759264.0425
Hawthorne Place Condominium Trust,Yes,Multifamily Housing,2 Hawthorne Place,02114," 476,544 ",54.6,100,,Multifamily Housing,1000,1473.2,3.1," 26,041,019 ",8%,92%,,35.5,,,,0300475000,"2015, 2016",31697128.6920
Haynes House,Yes,Multifamily Housing,735 Shawmut Ave,02119," 138,710 ",70.3,80,,"Multifamily Housing, Parking",1974,592.5,4.3," 9,749,278 ",18%,82%,,55.7,,,,0902160000,"2015, 2016",13904420.7115
Headquarters BFD,Municipal,Fire Station,115 South Hampton St,02118,62432,300.9,Not Available,,Fire Station,2000,1118.4,17.9,18784062.9,15%,85%,,,,,,Not Available,2016,#VALUE!
Headquarters BPD,Municipal,Police Station,1199 Tremont St,02120,180000,216.8,Not Available,,Police Station,2000,2929.5,16.3,39026592.9,50%,50%,,,,,,Not Available,2016,#VALUE!
Health Center,Yes,College/University,94 Pilgrim Road,02115," 5,400 ",107,Not Available,,College/University,1967,37.5,6.9," 577,756 ",27%,73%,,5.8,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016",932671.9951
Hearth at Olmstead Green: 2 Kingbird Road,Yes,Multifamily Housing,305 American Legion Hwy,02124," 59,580 ",46.4,76,,Multifamily Housing,2012,197.2,3.3,"2,763,244.3",42%,58%,,18.2,,Used 582.5 SF per apartment per the average of range 540-625 found on Peabody's site.  Gross SF comes from press release about the groundbreaking.,,1405196900,"2015, 2016",5326982.3615
Hebrew Rehabilitation Center,Yes,Hospital (General Medical & Surgical),1200 Centre St,02131," 420,000 ",179,94,,"Hospital (General Medical & Surgical), Parking",1963,5090.5,12.1," 75,163,695 ",33%,66%,,45.1,,,,Not Available,"2014, 2015, 2016",129973060.5294
HEMENWAY,Municipal,K-12 School,37 Millstone Rd.,02136,15077,85.7,73,,K-12 School,1947,82.8,5.5,1292068.4,25%,75%,,,,,,Not Available,2016,#VALUE!
Hemenway Apartments,Yes,Multifamily Housing,491 Huntington Ave,02115," 70,300 ",120,24,,Multifamily Housing,1900,518.8,7.4," 8,436,720 ",19%,81%,,83.1,,,,0401797000,"2015, 2016",12208777.0779
HENNIGAN,Municipal,K-12 School,200 Heath St.,02130,137800,215,6,,K-12 School,1972,1590.3,11.5,29626744.6,1%,99%,,,,,,Not Available,2016,#VALUE!
HERNANDEZ,Municipal,K-12 School,61 School St.,02119,64313,63.4,93,,K-12 School,1923,236.4,3.7,4076838.6,11%,89%,,,,,,Not Available,2016,#VALUE!
HF GROUP LLC,Yes,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,02129," 39,754 ",168,Not Available,,Manufacturing/Industrial,1950,540.6,13.6," 6,679,084 ",64%,36%,,14.2,,,,0202138000 0202139000,2016,15946980.0034
HIGGINSON,Municipal,K-12 School,160 Harrishof St.,02119,22968,66.4,93,,K-12 School,1922,91.4,4,1525667,16%,84%,,,,,,Not Available,2016,#VALUE!
High Pressure Station,Municipal,Fire Station,117 Kneeland St,02111,2500,169.2,Not Available,,Fire Station,2000,40.9,16.4,422955,100%,,,,,,,Not Available,2016,#VALUE!
Hillview Condominium Trust,Yes,Other - Lodging/Residential,5050 Washington Street,02132," 88,818 ",58.3,Not Available,,Other - Lodging/Residential,1983,322.3,3.6," 5,180,107 ",21%,79%,,36.2,,,,2012245000,"2015, 2016",7712660.8656
Hilton Boston Downtown/Faneuil Hall,Yes,Hotel,89 Broad St,02110," 338,757 ",121.7,Not Available,,"Hotel, Office, Restaurant, Retail Store",1998,3044.3,9.0," 41,222,802 ",32%,18%,50%,40.1,,,,0304029000,"2014, 2015, 2016",73945462.0482
Holden,Municipal,K-12 School,8 Pearl St,02129,11212,9.8,100,,K-12 School,2000,10.6,0.9,109320.5,100%,,,1.4,,,,Not Available,2016,#VALUE!
HOLLAND,Municipal,K-12 School,85 Olney St.,02121,138585,108.6,49,,K-12 School,1972,895.7,6.5,15052307.5,15%,85%,,,,,,Not Available,2016,#VALUE!
HOLMES,Municipal,K-12 School,40 School St,02124,60280,48.9,97,,K-12 School,1906,180.3,3,2948235.3,18%,82%,,,,,,Not Available,2016,#VALUE!
Holmes Sports Center,Yes,College/University,331 Brookline Avenue,02115," 53,100 ",128.7,Not Available,,College/University,1989,466.1,8.8," 6,834,944 ",35%,65%,,15.7,,"Athletic facility with pool and spa; served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016",12176452.5579
Holy Family Church,Yes,Worship Facility,24 Hartford Street,02125," 36,072 ",49.4,85,,Worship Facility,1925,100.7,2.8," 1,780,447 ",8%,92%,,19.9,,,,1301049000,2016,2167160.0884
Holy Name Parish School,Yes,K-12 School,535 West Roxbury Parkway,02132," 118,893 ",59.6,48,,"K-12 School, Parking",1953,412.5,3.5," 7,090,668 ",12%,88%,,6.0,,,,2005897000,"2015, 2016",9223540.8043
Home Depot,Yes,Retail Store,1213 VFW Parkway,02132," 102,849 ",93,65,,"Parking, Retail Store",1994,746.6,7.3," 9,563,082 ",57%,43%,,8.5,,,,2009216400,"2014, 2015, 2016",21433735.0142
Honan-Allston Branch,Municipal,Library,300 North Harvard St,02134,20000,100.3,Not Available,,Library,2000,139.6,7,2006627,38%,62%,,,,,,Not Available,2016,#VALUE!
Horticultural Hall,Yes,Office,300 Mass AVe,02115," 65,712 ",57,65,,Office,1901,362.3,5.5," 3,745,128 ",100%,,,8.4,,,,Not Available,"2014, 2015, 2016",11759702.8620
Hostelling International - Boston,Yes,Hotel,19 Stuart Street,02116," 65,000 ",198.2,22,,"Bank Branch, Hotel",2012,881.6,13.6," 12,884,932 ",35%,65%,,62.7,,,,0304925000,"2014, 2015, 2016",22954507.0706
Hotel Commonwealth,Yes,Hotel,500 Commonwealth Avenue,02215," 280,000 ",76,63,,"Hotel, Parking",2003,1616.7,5.8," 21,289,715 ",52%,48%,,40.1,,,,0503934022 0503934026,2016,45491862.5846
"HTA - St. Elizabeth's MOB 1, LLC",Yes,Medical Office,11 Nevins Street,02135,50676,54.9,69,,Medical Office,1988,269.0,5.3,2780872.8,100%,,,,,,,2101835200,"2015, 2016",8731940.5920
Huntington Plaza,Yes,Office,263-289 Huntington Avenue,02115,87751,138.9,47,,"Office, Restaurant, Retail Store",1927,1004.2,11.4,12188750.6,67%,33%,,52.6,,"249	Huntington Ave	1807821000	
263	Huntington Ave	0401484000	1807824040
265	Huntington Ave	1807824030	
267	Huntington Ave	1807824020	
269	Huntington Ave	1807824050	
271	Huntington Ave	NA	
273	Huntington Ave	1807825000	
277	Huntington Ave	1807825001	
281	Huntington Ave	401485000	1807825002
283	Huntington Ave	NA	
285	Huntington Ave	1807825003	
289	Huntington Ave	1807825004	
",,Not Available,2016,29866095.5952
HURLEY,Municipal,K-12 School,70 Worcester St.,02118,42043,76.1,86,,K-12 School,1961,188.7,4.5,3199112.1,13%,87%,,,,,,Not Available,2016,#VALUE!
Hurley Building,Yes,State Office Building,19 Staniford Street,02114,347022,190.45,0,0,"State Office Building, Office",1969,4757.0,,66090998,39%,61%,,,,,,,"2015, 2016",123266320.3698
Hyatt Regency Boston,Yes,Hotel,One Avenue De Lafayette,02111," 462,684 ",86.2,54,"2013, 2012, 2011, 2010, 2007","Hotel, Other, Restaurant",1983,3252.1,7.0," 39,892,531 ",65%,35%,,34334.0,,Hyatt Regency Boston  Assessing Parcel ID is 03045001100,,0304500100,"2014, 2015, 2016",96081161.8769
Hyde Park Branch,Municipal,Library,35 Harvard Ave,02134,30000,34.8,Not Available,,Library,2000,100.9,3.4,1042720.8,100%,,,,,,,Not Available,2016,#VALUE!
Hyde Park Community Center,Municipal,Other - Recreation,1175 River St,02136,40000,22.5,Not Available,,Other - Recreation,2000,87.3,2.2,901859.8,100%,,,,,,,Not Available,2016,#VALUE!
HYDE PARK HS,Municipal,K-12 School,655 Metropolitan Ave.,02136,186589,66.5,66,,K-12 School,1929,806.6,4.3,12407401.9,27%,73%,,,,,,Not Available,2016,#VALUE!
Hyde Park Storage LLC,Yes,Self-Storage Facility,1641 Hyde Park Ave,02136," 40,188 ",20.2,Not Available,,Self-Storage Facility,1997,38.2,1.0,"812,534.8",11%,89%,,0.6,212511,,,09450000,2016,172673622846.0910
"IM000106 - 32 George St, Boston, MA",Yes,Non-Refrigerated Warehouse,32 George St,02119,242500,9.3,99,,Non-Refrigerated Warehouse,1930,169.9,0.7,2251756.4,51%,49%,,0.1,,,,Not Available,2016,4764491.3668
Independence Wharf,Yes,Financial Office,470 Atlantic Avenue,02210,324022,72.3,82,,"Financial Office, Office, Parking",2001,2081.9,6.4,23416053.9,74%,0%,26%,15.3,,,,0302956000,"2014, 2015, 2016",61715351.6588
International Village,Yes,College/University,1155-1175 Tremont Street,02115," 495,301 ",81.2,Not Available,,College/University,2009,3057.8,6.2," 40,198,774 ",53%,47%,,31.0,,,,Not Available,"2014, 2015, 2016",86736894.2283
IRVING,Municipal,K-12 School,105 Cummins HWY,02131,110370,58.1,91,,K-12 School,1936,387.9,3.5,6412474.2,17%,83%,,,,,,Not Available,2016,#VALUE!
Isabella Stewart Gardner Museum,Yes,Museum,25 Evans Way,02115," 70,000 ",165.5,Not Available,,Museum,2011,1021.0,14.6," 11,584,593 ",80%,20%,,47.8,,,,Not Available,"2014, 2015, 2016",31533262.6904
Isabella Stewart Gardner Museum,Yes,Museum,280 the Fenway,02115," 63,000 ",102.5,Not Available,,Museum,1903,406.4,6.5," 6,457,129 ",23%,77%,,,,The water used in this building is metered through building identified as Portfolio Manager Property ID: 4040564. We only have one water main for the entire campus. ,,Not Available,"2014, 2015, 2016",9883926.7480
Jack Young Company,Yes,Distribution Center,354 Cambridge Street,02134," 40,000 ",26.5,Not Available,,"Distribution Center, Multifamily Housing",1920,93.4,2.3," 1,059,918 ",80%,20%,,1.8,,,,2100675010,2016,2885096.5238
JACKSON MANN,Municipal,K-12 School,40 Armington St.,02134,207798,158.7,10,,K-12 School,1975,1850.2,8.9,32968337.4,7%,93%,,,,,,Not Available,2016,#VALUE!
Jackson Square Limited Partnership,Yes,Supermarket/Grocery Store,301 Centre Street,02130," 46,660 ",218.2,87,,"Parking, Supermarket/Grocery",1996,815.6,17.5," 10,182,207 ",62%,38%,,20.8,,,,1001850010,2016,23885422.1189
Jaharis Family Center for  Biological and Nutrition Sciences,Yes,Laboratory,150 Harrison Avenue,02111," 179,423 ",387.3,Not Available,,Laboratory,2002,5469.7,30.5," 69,496,031 ",41%,0%,59%,62.4,,,,0305104000,"2014, 2015, 2016",138672380.8560
Jamaica Plain,Yes,Multifamily Housing,48 School Street,02130," 156,000 ",71.5,84,,"Multifamily Housing, Parking",1920,686.4,4.4," 11,151,154 ",19%,81%,,58.0,,,,1101481000110232700011023280001102329000110233000011023310001102332000110234200014010950001401097000140429800014042990001904778000,"2015, 2016",16136835.2428
Jamaica Plain Branch,Municipal,Library,12 Sedgewick St,02130,9252,86.5,Not Available,,Library,2000,50.8,5.5,799843.7,24%,76%,,,,,,Not Available,2016,#VALUE!
Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,02130," 445,701 ",60.8,73,,Multifamily Housing,1965,2190.8,4.9," 27,083,158 ",31%,1%,,22.7,,,,1002149000,"2015, 2016",26647119.5498
Jamestown - 1 Design Center Boston,Yes,Distribution Center,1 Design Center Place,02210," 495,668 ",76.5,Not Available,,"Distribution Center, Office, Restaurant",1985,2870.1,4.7," 37,916,572 ",52%,48%,,9.1,,Parcel IDs 0602674012 and 0602674018,,0602674012 0602674018,"2014, 2015, 2016",81020131.6906
Jamestown - 21-25 Drydock Ave Boston,Yes,Mixed Use Property,21-25 Drydock Ave,02210," 716,455 ",83,Not Available,,"Manufacturing/Industrial, Non-Refrigerated Warehouse, Office, Other",1985,4072.3,5.0," 59,474,690 ",35%,65%,,7.5,698449,,,0602674013,"2014, 2015, 2016",41540143709970.2000
